Time,1 D C,5 D C,10 D C,15 D C,20 D C,25 D C,30 D C,35 D C,40 D C,45 D C,50 D C,55 D C,60 D C,65 D C,70 D C,75 D C,80 D C,85 D C,90 D C,95 D C,99 D C
05/01/2022,0.6836537264,0.6807004964000001,0.6777472663999999,0.6747940364,0.6718408064000001,0.6688875764,0.6631715564,0.6588408142,0.6509044138,0.6411894764000001,0.6297763677999999,0.6155157064,0.5988921648000001,0.5796247064,0.5594149084,0.5442146943999999,0.535146119,0.5310745591999999,0.5303693732,0.5311795764,0.5933762536
06/01/2022,0.672043365,0.6691513468000001,0.6662593286,0.6633673106,0.6604752924000001,0.6575832744000001,0.6519857308000001,0.6477447524,0.6399728506,0.6304592756,0.6192827275999999,0.6053176484,0.5890386644000001,0.5701705646,0.5503796572,0.5354944993999999,0.5266138892000001,0.522626721,0.5219361514,0.5227295616000001,0.5836370822
07/01/2022,0.5836484204000001,0.581222436,0.5787964518,0.5763704676000001,0.5739444834,0.571518499,0.566822971,0.5632654044000001,0.5567459046000001,0.5487653934,0.5393898886,0.5276752102,0.5140195008,0.49819189840000005,0.4815901938,0.46910370300000004,0.4616541574,0.45830950080000005,0.45773021300000005,0.4583957692,0.5094883558000001
08/01/2022,0.5635185386000001,0.5611986826,0.5588788266,0.5565589708,0.5542391148,0.5519192587999999,0.5474291436000001,0.5440272082,0.5377929136,0.5301615218,0.5211961626,0.5099939602000001,0.49693564040000004,0.4818004402,0.46592500200000003,0.4539847514,0.4468610974,0.44366275780000003,0.4431088118,0.44374525220000005,0.492602717
09/01/2022,0.5776086958,0.575214554,0.5728204124,0.5704262706000001,0.5680321288,0.565637987,0.5610040906,0.5574932192,0.5510592918,0.5431835296,0.533931084,0.5223701676,0.5088936978,0.493273842,0.47689004500000004,0.46456744660000004,0.4572156808,0.453914925,0.45334324060000003,0.454000061,0.5044220266
10/01/2022,0.5070299942000001,0.5050079558,0.5029859176,0.5009638792,0.498941841,0.4969198028,0.49300611800000005,0.490040915,0.4846069644,0.47795527280000005,0.47014086520000004,0.46037677520000003,0.44899485180000004,0.43580267300000003,0.4219652862,0.4115578968,0.4053487608,0.4025610166,0.4020781848,0.40263292040000004,0.44521817900000005
11/01/2022,0.4926673562,0.49072104040000003,0.4887747244,0.48682840860000004,0.4848820926,0.48293577680000005,0.4791686538,0.4763144932,0.4710840362,0.4646814408,0.4571596714,0.4477612322,0.4368055452,0.42410739420000004,0.4107881974,0.4007705494,0.3947939364,0.3921105892,0.3916458388,0.3921798004,0.43317030320000005
12/01/2022,0.4894404788,0.4875111756,0.4855818724,0.48365256920000005,0.4817232658,0.4797939626,0.47605976800000005,0.47323055560000005,0.46804581780000004,0.461699187,0.4542431652,0.4449268776,0.4340669536,0.4214797966,0.4082770224,0.3983469384,0.39242256680000004,0.3897626746,0.3893019864,0.3898312808,0.4304634872
01/01/2023,0.448464558,0.446751287,0.44503801620000005,0.44332474520000004,0.4416114744,0.4398982034,0.43658214240000004,0.43406972920000003,0.4294655486,0.42382957740000005,0.417208438,0.408935335,0.3992914434,0.388113724,0.376389321,0.367571151,0.3623101566,0.35994810380000003,0.359539001,0.360009028,0.3960914724
02/01/2023,0.4349914646,0.43334922620000005,0.4317069878,0.4300647494,0.428422511,0.4267802728,0.42360169620000004,0.421193448,0.4167801578,0.411377855,0.4050312294,0.39710113080000004,0.38785707680000003,0.3771427878,0.36590448080000004,0.3574519138,0.35240904120000005,0.3501449196,0.3497527784,0.350203318,0.3847897772
03/01/2023,0.416901797,0.4153549306,0.4138080642,0.4122611976,0.4107143312,0.4091674648,0.40617348220000005,0.40390509139999997,0.3997481002,0.3946595326,0.3886814834,0.3812119202,0.3725047086,0.36241264520000005,0.35182699559999997,0.34386530600000004,0.33911529500000004,0.336982661,0.33661329300000004,0.3370376678,0.3696155404
04/01/2023,0.32583628760000005,0.3247695348,0.3237027818,0.322636029,0.321569276,0.3205025232,0.3184378074,0.3168734756,0.31400672360000004,0.3104975362,0.306374943,0.30122376900000003,0.2952190858,0.2882593784,0.2809592832,0.2754687282,0.27219301679999997,0.2707223058,0.2704675816,0.2707602396,0.2932266524
05/01/2023,0.3193497836,0.3183172286,0.3172846738,0.316252119,0.315219564,0.3141870092,0.3121884842,0.3106743018,0.30789945220000003,0.3045027624,0.3005123314,0.295526294,0.289714109,0.2829775162,0.2759114478,0.2705969092,0.2674262108,0.2660026478,0.26575608959999997,0.26603936559999997,0.2877855492
06/01/2023,0.31455241580000004,0.3135451536,0.31253789120000003,0.311530629,0.3105233666,0.3095161044,0.3075665334,0.30608944120000003,0.303382562,0.3000690746,0.29617638960000003,0.29131248600000004,0.2856426714,0.2790710924,0.2721781082,0.26699375000000003,0.2639007182,0.2625120256,0.2622715068,0.262547844,0.2837613518
07/01/2023,0.310379997,0.3093947326,0.308409468,0.3074242034,0.3064389388,0.30545367440000004,0.30354668020000003,0.30210184640000004,0.299454083,0.29621295940000003,0.2924052874,0.287647607,0.2821016162,0.2756735548,0.2689311076,0.26385997120000004,0.2608344886,0.25947612379999996,0.25924085760000004,0.25951115999999996,0.2802613832
08/01/2023,0.3082399618,0.30726597980000003,0.306291998,0.305318016,0.3043440342,0.3033700522,0.301484896,0.3000566074,0.29743916460000003,0.29423515640000003,0.2904710874,0.2857678892,0.2802854076,0.2739309564,0.2672657196,0.2622526546,0.25926181800000003,0.25791900840000004,0.2576864366,0.2579536434,0.2784662478
