Time,1 D C,5 D C,10 D C,15 D C,20 D C,25 D C,30 D C,35 D C,40 D C,45 D C,50 D C,55 D C,60 D C,65 D C,70 D C,75 D C,80 D C,85 D C,90 D C,95 D C,99 D C
03/01/2022,0.836,0.8469,0.853,0.8584,0.8634,0.8685,0.8738,0.8795,0.8861,0.8939,0.9018,0.9113,0.924,0.9394,0.9608,0.9907,1.0376,1.1292,1.4059,2.3613,3
04/01/2022,0.9358,0.941,0.9589,0.9661,0.9773,0.9885,0.9953,1.0061,1.0181,1.0316,1.047,1.0644,1.0853,1.1134,1.15,1.1981,1.2743,1.402,1.7154,2.0288,2.3422
05/01/2022,0.8992,0.9051,0.911,0.9302,0.9371,0.9458,0.9617,0.9727,0.9871,1.0021,1.0198,1.0403,1.065,1.0969,1.1364,1.1927,1.2755,1.3308,1.3861,1.4414,1.4968
06/01/2022,0.9184,0.9245,0.9307,0.9368,0.9434,0.9601,0.9724,0.9799,1.0003,1.0154,1.0333,1.0543,1.0796,1.1097,1.1495,1.1821,1.2146,1.2472,1.2797,1.3123,1.3449
07/01/2022,0.9337,0.9372,0.9407,0.9442,0.9477,0.9674,0.9734,0.9861,1.0014,1.0169,1.0342,1.0541,1.0782,1.0929,1.1076,1.1222,1.1369,1.1516,1.1663,1.1809,1.1956
