Time,1 D C,5 D C,10 D C,15 D C,20 D C,25 D C,30 D C,35 D C,40 D C,45 D C,50 D C,55 D C,60 D C,65 D C,70 D C,75 D C,80 D C,85 D C,90 D C,95 D C,99 D C
01/01/2024,0.798908284,0.794696297,0.790484311,0.786272324,0.782060338,0.777848351,0.76969599,0.763519354,0.752200218,0.738344479,0.722066756,0.701727767,0.678018766,0.650538931,0.621715102,0.600036095,0.587102217,0.581295234,0.580289476,0.581445013,0.670151806
02/01/2024,0.808243348,0.803982146,0.799720943,0.79545974,0.791198538,0.786937335,0.778689715,0.772440906,0.760989509,0.746971869,0.730503944,0.709927299,0.685941264,0.658140333,0.628979704,0.607047382,0.593962375,0.588087539,0.587070029,0.588239068,0.67798238
03/01/2024,0.831482448,0.827098725,0.822715002,0.818331278,0.813947555,0.809563832,0.801079071,0.794650593,0.782869938,0.768449254,0.751507834,0.730339556,0.70566386,0.67706358,0.647064508,0.624501574,0.611040339,0.604996586,0.60394982,0.605152472,0.697476138
04/01/2024,0.581755373,0.578688255,0.575621137,0.57255402,0.569486902,0.566419784,0.560483333,0.555985581,0.547743123,0.537653541,0.525800299,0.510989693,0.493725085,0.4737146,0.452725436,0.436939044,0.42752075,0.423292176,0.422559795,0.423401243,0.487996459
05/01/2024,0.560872524,0.557915504,0.554958485,0.552001465,0.549044445,0.546087426,0.540364071,0.536027772,0.528081187,0.518353783,0.506926029,0.492647068,0.476002195,0.456710012,0.436474281,0.421254562,0.412174349,0.408097565,0.407391474,0.408202717,0.470479206
06/01/2024,0.5485029,0.545611095,0.54271929,0.539827485,0.53693568,0.534043876,0.528446745,0.524206079,0.516434751,0.506921878,0.495746154,0.481782105,0.465504322,0.446637614,0.426848167,0.411964107,0.403084152,0.399097278,0.398406759,0.399200111,0.460103138
07/01/2024,0.54961618,0.546718506,0.543820832,0.540923158,0.538025484,0.535127809,0.529519319,0.525270046,0.517482944,0.507950763,0.496752356,0.482759965,0.466449143,0.447544142,0.427714528,0.412800259,0.403902281,0.399907315,0.399215394,0.400010356,0.461036997
08/01/2024,0.560212574,0.557259034,0.554305494,0.551351954,0.548398413,0.545444873,0.539728253,0.535397055,0.527459821,0.517743863,0.506329555,0.492067396,0.475442108,0.456172625,0.435960704,0.420758893,0.411689365,0.407617378,0.406912117,0.407722406,0.469925617
09/01/2024,0.582718134,0.57964594,0.576573746,0.573501553,0.570429359,0.567357166,0.56141089,0.556905695,0.548649596,0.538543316,0.526670459,0.511835342,0.494542162,0.474498562,0.453474662,0.437662145,0.428228265,0.423992692,0.423259099,0.42410194,0.488804056
10/01/2024,0.429140442,0.426877938,0.424615433,0.422352928,0.420090424,0.417827919,0.413448808,0.410130975,0.404050804,0.396608075,0.387864356,0.376939094,0.3642036,0.349442571,0.333959604,0.322314539,0.315366995,0.312247725,0.311707473,0.31232818,0.359977795
11/01/2024,0.428970343,0.426708735,0.424447127,0.422185519,0.419923911,0.417662304,0.413284928,0.40996841,0.403890649,0.39645087,0.387710617,0.376789685,0.36405924,0.349304062,0.333827232,0.322186782,0.315241993,0.312123958,0.311583921,0.312204382,0.35983511
12/01/2024,0.428985189,0.426723503,0.424461817,0.42220013,0.419938444,0.417676758,0.413299231,0.409982599,0.403904627,0.396464591,0.387724035,0.376802725,0.36407184,0.34931615,0.333838785,0.322197933,0.315252903,0.312134761,0.311594705,0.312215186,0.359847563
01/01/2025,0.424090055,0.421854177,0.419618299,0.417382421,0.415146543,0.412910664,0.40858309,0.405304303,0.399295687,0.391940548,0.383299731,0.372503044,0.35991743,0.345330117,0.330029363,0.318521344,0.311655564,0.308573003,0.308039109,0.308652511,0.355741356
02/01/2025,0.423869231,0.421634517,0.419399803,0.417165089,0.414930375,0.412695661,0.40837034,0.40509326,0.399087773,0.391736464,0.383100147,0.372309081,0.35973002,0.345150303,0.329857516,0.31835549,0.311493284,0.308412328,0.307878713,0.308491795,0.355556121
03/01/2025,0.423611598,0.421378243,0.419144887,0.416911531,0.414678176,0.41244482,0.408122128,0.40484704,0.398845203,0.391498362,0.382867294,0.372082787,0.359511372,0.344940517,0.329657025,0.31816199,0.311303955,0.308224872,0.307691581,0.30830429,0.35534001
04/01/2025,0.423531707,0.421298773,0.419065838,0.416832904,0.414599969,0.412367035,0.408045157,0.404770687,0.398769982,0.391424527,0.382795087,0.372012614,0.35944357,0.344875463,0.329594853,0.318101986,0.311245244,0.308166742,0.307633551,0.308246145,0.355272994
