Mon 0.01,Mon 0.05,Mon 0.1,Mon 0.15,Mon 0.2,Mon 0.25,Mon 0.3,Mon 0.35,Mon 0.39999999999999997,Mon 0.44999999999999996,Mon 0.49999999999999994,Mon 0.5499999999999999,Mon 0.6,Mon 0.65,Mon 0.7,Mon 0.75,Mon 0.7999999999999999,Mon 0.85,Mon 0.9,Mon 0.95,Mon 0.99
2.794873782536786,2.7548739003605953,2.717136069911438,2.6788835483502935,2.6351546715056684,2.5916497639261595,2.5500553290282655,2.5100561873759606,2.4713904200084627,2.433650404700887,2.397949844307439,2.3637155999944777,2.3296638483277787,2.2978703830172584,2.2675846908745316,2.238450432536021,2.2109134295525434,2.1848186468641093,2.164164609617181,2.145669642797604,2.131581879715933
2.72386510632544,2.673218680515227,2.618382382546971,2.5608236686822403,2.5096824162727263,2.4632085950130227,2.4193695005583313,2.378119364544358,2.3405456974102834,2.3044660948150923,2.270327933171354,2.2389925407281663,2.2091910664957064,2.1812751788955076,2.1551771821336336,2.1314362818475847,2.1131064793544247,2.0958985226278806,2.0797037842369686,2.0644290833355154,2.055451184282383
2.2909448075108263,2.2533376884117153,2.213531480332289,2.176868887112363,2.1367246239630044,2.099351385578651,2.064210992782654,2.0304816077720296,1.998153653953052,1.9680135062033268,1.9392096818656368,1.9110920533695894,1.885046297435277,1.8603212992958191,1.8367694690893326,1.814624761876568,1.7937360565103078,1.7774060442079382,1.7626541796949105,1.7487239904724992,1.7381251683194665
2.1863840939926864,2.146963461217088,2.105140231220328,2.0615576777161193,2.0211676149785642,1.9849330786883779,1.949385722563877,1.9169235341909545,1.8864127724355015,1.8580911286857913,1.8303477741706071,1.8048718973475149,1.7809488942360276,1.758238663458365,1.737000516552227,1.7170617933206682,1.701121991470543,1.6870944772491663,1.6738899820048037,1.6614332991671104,1.652132767822928
2.2436325065161244,2.184597254691092,2.1260133539729815,2.073191091259749,2.0275588079599696,1.9872762067233791,1.9503131006798422,1.9174767062056193,1.8862627282258992,1.8582872039332343,1.8323773695615295,1.8083619760170344,1.786219729501771,1.7659333620413973,1.7506167219038435,1.7363658347374105,1.723058811996587,1.7105949317727502,1.7012270670361749,1.6942422782497846,1.6889745720485694
1.9051114161327782,1.8703144588894751,1.8334647446849759,1.7943403314467161,1.7590708543206344,1.7273153067918101,1.6966084814091613,1.668302158561048,1.6419752735612643,1.6173133592091853,1.5933927873555958,1.571437513004073,1.5507712475627753,1.5312139302204275,1.5129311326604173,1.495773018451355,1.4822254600128377,1.470163979011507,1.4588131094501502,1.448107602409598,1.440087850447838
1.8319921867440736,1.7971951215760158,1.7579736752425175,1.7190213646338408,1.684584371516293,1.6531155952403247,1.6241637580505037,1.596488935687362,1.5717291984547415,1.547607085907263,1.5251479164950816,1.5045514560472588,1.4849001809106848,1.4665800896544425,1.4494664679608502,1.434030001592812,1.422031483821287,1.41077377471379,1.400184699349811,1.390202185046823,1.3839919194389072
1.8120292234021913,1.7702554246340478,1.728051373889832,1.6875206735585935,1.652674458167934,1.6198384581606267,1.5905552445695212,1.5639615538377583,1.5391398852124636,1.5157675417990313,1.4945569267768137,1.474614464574106,1.4560585050474744,1.4388312220781079,1.4229855244325407,1.410982536914265,1.3997663668698404,1.3892535478655437,1.3793742108748792,1.3715913870897312,1.367128424000339
1.6145448583483883,1.585412929266051,1.5545899765893665,1.522541688226479,1.4929523741189719,1.466486379916251,1.4404512948094217,1.4167933447288106,1.3944676506663567,1.3739169485873102,1.3536333197566537,1.3350160954949069,1.3176203460806823,1.301038765472797,1.285539375531106,1.2709940122090249,1.258767493680508,1.2485388511817566,1.2389132433808732,1.229835373816086,1.2229356104960791
1.5474871024890102,1.5194864826555028,1.4898813378328615,1.4589833454320549,1.4306370481862867,1.4052722622397706,1.3803886665209906,1.3577451679185772,1.3364149384962858,1.316761412821545,1.2973872470937982,1.2796068867355317,1.2629941101757338,1.2471624707583338,1.2323656307110744,1.2184816266335925,1.2067689606946588,1.1970073284544898,1.187822019113254,1.1791601215023668,1.172576977211563
